sku,label,label_id,r_j,p_vigente,p_en_riesgo,p_obsoleto,label_pred,correct
152452903,VIGENTE,0,0.003219,0.994128,0.002654,0.003219,VIGENTE,1
B0FJDL4WJM,VIGENTE,0,0.028068,0.958798,0.013134,0.028068,VIGENTE,1
v1|167656974527|0,OBSOLETO,2,0.999186,0.000435,0.000379,0.999186,OBSOLETO,1
151971504,EN_RIESGO,1,0.146192,0.078495,0.775313,0.146192,EN_RIESGO,1
,EN_RIESGO,1,0.002276,0.000254,0.99747,0.002276,EN_RIESGO,1
20001474362,VIGENTE,0,0.034369,0.938528,0.027104,0.034369,VIGENTE,1
v1|236409822935|0,VIGENTE,0,0.009763,0.98572,0.004517,0.009763,VIGENTE,1
155441500,OBSOLETO,2,0.999577,0.000284,0.000138,0.999577,OBSOLETO,1
B0F2VYLS32,VIGENTE,0,0.029785,0.949492,0.020723,0.029785,VIGENTE,1
,OBSOLETO,2,0.863789,0.080279,0.055932,0.863789,OBSOLETO,1
150492540,OBSOLETO,2,0.999898,7e-05,3.2e-05,0.999898,OBSOLETO,1
155200955,VIGENTE,0,0.018523,0.968036,0.013441,0.018523,VIGENTE,1
154977423,VIGENTE,0,0.000611,0.99913,0.000259,0.000611,VIGENTE,1
154122345,VIGENTE,0,0.020712,0.976003,0.003284,0.020712,VIGENTE,1
v1|352657142436|622002625078,OBSOLETO,2,0.014276,0.003292,0.982432,0.014276,EN_RIESGO,0
,EN_RIESGO,1,0.001337,0.000118,0.998546,0.001337,EN_RIESGO,1
B0DP4JRTST,VIGENTE,0,0.115201,0.841997,0.042803,0.115201,VIGENTE,1
v1|178057380388|0,VIGENTE,0,0.000637,0.998907,0.000456,0.000637,VIGENTE,1
154936161,OBSOLETO,2,0.995426,0.002684,0.001889,0.995426,OBSOLETO,1
